year,title,keywords_list,producers_list,directors_list,writers_list,editing_list,cinematography_list,production_design_list,music_departments_list
1987,Near Dark,vampire truck bar motel cure for vampirism father son relationship brother sister relationship blood transfusion immortality child vampire person on fire shootout massacre farm neo western horror hitchhiker girl chase loyalty slow motion scene attraction boy kidnapping murder bus small town good versus evil moral dilemma mercilessness investigation on the run supernatural power invulnerability missing person crisis of conscience burned to death femme fatale vampire clan road movie mobile home shot in the forehead recreational vehicle father daughter relationship exploding truck on the road star crossed lovers redemption sawed off shotgun neo western freeze frame,"['Mark Allan', 'Edward S. Feldman', 'Steven-Charles Jaffe', 'Charles R. Meeker', 'Diane Nabatoff', 'Eric Red']",['Kathryn Bigelow'],"['Eric Red', 'Kathryn Bigelow']",['Howard E. Smith'],['Adam Greenberg'],['Stephen Altman'],['Jim Weidman']
2003,The Texas Chainsaw Massacre,leatherface character leatherface psychopath sadistic horror slaughterhouse no opening credits stupid victim horror icon psychotronic film body in a trunk slasher killer grindhouse film graphic violence human skin mask wearing human skin characters killed one by one characters murdered one by one bloody violence clothesline suicide telephone chainsaw newspaper clipping group of five maniac masked killer masked villain anthropophagus sexual perversion human monster meat processing factory knife object made of human skin object made of body part volkswagen bus teeth knocked out police brutality evil sheriff serial killer thrown through a window small town sheriff police car one armed man mother son relationship locker room gas station attendant falling down stairs moon cow shot through the mouth,"['Jeffrey Allard', 'Michael Bay', 'Matthew Cohan', 'Joe Dishner', 'Ted Field', 'Mike Fleiss', 'Andrew Form', 'Brad Fuller', 'Kim Henkel', 'Tobe Hooper', 'Pat Sandston', 'Guy Stodel']",['Marcus Nispel'],"['Kim Henkel', 'Tobe Hooper', 'Scott Kosar']",['Glen Scantlebury'],['Daniel Pearl'],"['Greg Blair', 'Frank Marano']","['Bob Badami', 'Wayne Bell', 'Jay Flood', 'Tobe Hooper', 'Malcolm Luker', 'William V. Malpede', 'Melissa Muik', 'Jennifer Nash', 'Paul Silver', 'Mel Wesson', 'Steve Jablonsky']"
1962,The Cabinet of Caligari,dr caligari character four word title psychotronic film car car breakdown car trouble captivity bathtub female protagonist physician doctor patient relationship disguise panties seduction logic theory trust maze dizzy truth sleeping pill reality scream wig sleep voyeurism memory time little girl music box suspense nurse psychiatric hospital fugue psychiatrist observation drugs nightmare insanity fantasy sequence perception striptease travellers cheque watching tv flashback captive drugged drink brassiere guest aquarium,"['Roger Kay', 'Robert L. Lippert']",['Roger Kay'],['Robert Bloch'],['Archie Marshek'],['John L. Russell'],['Serge Krizman'],"['Gerald Fried', 'Caesar Giovannini', 'William Kraft', 'Mitchell Lurie', 'Virginia Majewski', 'Richard Nash', 'Uan Rasey', 'Raymond Turner']"
1977,Empire of the Ants,giant ant ant when animals attack cult film formicary grindhouse film psychotronic film kneed in the groin natural horror creature feature based on the works of hg wells sugar processing factory z movie real estate florida the everglades florida real estate scam radioactive material mutant island radioactive radioactive waste boat monster real estate agent insect giant insect ant attack based on novel independent film insect in title four word title b movie animal in title,"['Samuel Z. Arkoff', 'Bert I. Gordon']",['Bert I. Gordon'],"['H.G. Wells', 'Jack Turley', 'Bert I. Gordon']",['Michael Luciano'],['Reginald H. Morris'],['Charles Rosen'],"['Bodie Chandler', 'Ving Hershon', 'Israel Baker', 'Harry Bluestone', 'Larry Bunker', 'Vince De Rosa', 'Ralph Grierson', 'Armand Kaproff', 'Dana Kaproff', 'Nathan Kaproff', 'Milton Kestenbaum', 'Michael Lang', 'Malcolm McNab', 'Richard Nash', 'Uan Rasey', 'Emil Richards', 'Wayne Robinson', 'Meyer Rubin', 'Thomas Z. Shepard', 'Paul Shure', 'Lloyd Ulyate', 'Ian Underwood']"
1974,"So Evil, My Sister",sister husband wife relationship gore maniac death murder independent film,"['Sidney L. Caplan', 'Harry S. Franklin', 'Robert J. Stone']",['Reginald Le Borg'],['Tony Crechales'],['Herbert L. Strock'],['Dean Cundey'],[],['Johnny Pate']
1984,Monster Dog,werewolf pop rock soft rock cosmetics makeup mirror staring into a mirror looking at oneself in a mirror turtleneck slit skirt camera headphones cameraman leather jacket bridal gown silhouette blood canine portrait corpse screaming woman crash through window stairwell spotlight fireplace candle white candle gloves black gloves blonde blonde woman white gloves crew cut phone line phone line cut gun rifle bullet station wagon hick hillbilly thug victim luggage baggage curly hair gun in pocket banner bullet belt sunglasses,"['Carlos Aured', 'Eduard Sarlui', 'Helen Szabo', 'Clark Tyrrel']",['Claudio Fragasso'],"['Claudio Fragasso', 'Rossella Drudi']",['Antonio Jose Ochoa'],['José García Galisteo'],[],['Teddy Bautista']
1956,The Mole People,psychotronic film pipe smoking camp cuneiform female whipping whipped woman fall from height temple skeleton tied up man tied up chained to a wall subterranean city drugged food ritual dance sack over head dance crushed to death albino archaeologist ishtar flashlight tablet earthquake creature mesopotamia high priest ziggurat reference to homer slave uprising black hood brutality flogging subjugation cavern ancient civilization fissure cave sword human skeleton globe creature feature naked dead woman nude sacrifice implied nudity dance number mushroom forced labor sumer prologue,['William Alland'],['Virgil W. Vogel'],['László Görög'],['Irving Birnbaum'],['Ellis W. Carter'],[],"['Joseph Gershenson', 'Ethmer Roten', 'David Tamkin']"
2004,Dark Harvest II: The Maize,corn maze halloween costume vampire costume maze psychic halloween police cornfield movie in title labyrinth ghost child video camera ghost murder of a child,['Bill Cowell'],['Bill Cowell'],['Bill Cowell'],['Rob Imbs'],"['Gary Brice', 'Bill Cowell']",[],[]
2002,The Stoneman,discovery creature feature,"['Ewing Miles Brown', 'Jeanne DeVivier Brown', 'William A. Stafford']",['Ewing Miles Brown'],['Jack Neal'],['Tee Bosustow'],['Richard Bennett'],[],['John Hajewski']
2007,Asudem,medusa,"['Tom Dokoupil', 'Laura Gerber', 'Daryush Shokof']",['Daryush Shokof'],"['Juliane Schulze', 'Daryush Shokof']","['Daryush Shokof', 'Daryoush Zandi']",['Daryush Shokof'],[],[]
1915,Life Without Soul,monster lost film gothic horror gothic dream murder frankensteins monster frankenstein legend based on novel,['John I. Dudley'],['Joseph W. Smiley'],"['Jesse J. Goldburg', 'Mary Shelley']",[],[],[],[]
2008,Beaten to a Pulp,serial carnage,"['Damon McCarthy', 'Craig J. McIntyre', 'Brian Petre']",['Craig J. McIntyre'],['Craig J. McIntyre'],['Craig J. McIntyre'],"['Naotaka Hiro', 'Damon McCarthy', 'Craig J. McIntyre', 'Justin Miller', 'Michael Adrian Palermo']",[],[]
1997,The Man Next Door,escape,"['Jeanne R. Simpson', 'Rick Simpson', 'Claud L. Spence', 'Rod C. Spence', 'Jodi Taylor']",['Rod C. Spence'],['Rod C. Spence'],['Rodney Carter'],['Tom Bevins'],[],[]
2006,Mulberry St,rat infection animal bite mutation female soldier giant rat wheelchair creature feature mutant apartment gay virus quarantine single mother building superintendent apartment building no survivors homosexual blood splatter ah 64 apache helicopter newscast falling to death gas mask bleeding from eyes beaten to death hit with a wrench suicide explosion radio power outage cigarette smoking father daughter relationship hit by a truck flash camera flamethrower hand through head punched in the stomach raised middle finger corpse bitten in the neck broken back punched in the face transformation locked in a closet hit with a baseball bat eaten alive hit with a frying pan bartender harlem manhattan new york city news report,"['Victor Assante', 'Rene Bastian', 'Adam Folk', 'Tim House', 'Linda Moran']",['Jim Mickle'],"['Nick Damici', 'Jim Mickle']",['Jim Mickle'],['Ryan Samul'],['Beth Mickle'],"['Jim Black', 'Eric Copeland', 'Tim Sandusky', 'Darren Garvey']"
1940,The Invisible Man Returns,invisible man framed for murder invisibility on the run sequel murder death of brother escape from prison guinea pig detective laboratory death row megalomania smoke insane laughter scotland yard coal mine blood transfusion insanity scarecrow race against time undressing fainting newspaper headline scientist cigar smoking fog machine death penalty fiance fiancee relationship colliery innocent sentenced to death wrongful conviction fingerprint confession drugged drink dog barks butler bandaged face dog newspaper hypodermic needle chase rain prison pistol candle escape held at gunpoint falling from height knocked unconscious,['Ken Goldsmith'],['Joe May'],"['H.G. Wells', 'Joe May', 'Curt Siodmak', 'Lester Cole', 'Curt Siodmak', 'Cedric Belfrage']",['Frank Gross'],['Milton R. Krasner'],[],"['Charles Previn', 'Frank Skinner']"
1979,Weasels Rip My Flesh,psychotronic film natural horror monster creature feature camp violence gore claim in title animal in title child killed by animal mutilated child murder mad scientist mutation detective dead children bicycle independent film,['Nathan Schiff'],['Nathan Schiff'],['Nathan Schiff'],['Nathan Schiff'],['Nathan Schiff'],[],[]
2004,Burning Dead,long lost burned to death cigarette smoking rearview mirror fire,['John Russell'],['George Demick'],['George Demick'],[],['Tracey C.'],[],[]
1944,The Soul of a Monster,dead woman with eyes open falling to death husband wife relationship investigation held at gunpoint domination deception,['Ted Richmond'],['Will Jason'],['Edward Dein'],['Paul Borofsky'],['Burnett Guffey'],[],"['Mischa Bakaleinikoff', 'Daniele Amfitheatrof', 'Mischa Bakaleinikoff', 'Gerard Carbonara', 'Mario Castelnuovo-Tedesco', 'Friedrich Hollaender', 'John Leipold', 'Ben Oakland', 'Karol Rathaus', 'Gregory Stone', 'Ernst Toch']"
1966,Chamber of Horrors,interrupted hanging insanity cleaver serial murder psychotronic film begins with a warning psychopathic killer house of wax wedding ceremony camera shot of eyes kissing a dead body corpse carrying someone in ones arms humming necrophile necrophilia police station police detective reference to george washington criminology enthusiast grand guignol murder investigation briton in usa reference to jack the ripper crime historian hiding in a brothel reference to joan of arc little person spaniard in usa african american servant aunt nephew relationship criminal on the run killer on the loose killer on the run strangled to death murder by strangulation mannequin prostitute bar bartender fetishist music box police operation arrested man courtroom death sentence bribery handcuffed man freeze frame underwater scene,"['Hy Averback', 'James Barnett']",['Hy Averback'],"['Stephen Kandel', 'Stephen Kandel', 'Ray Russell']",['David Wages'],['Richard H. Kline'],[],"['David Strech', 'Dan Wallin']"
1978,The Alpha Incident,virus cult microorganism antidote cyanide research lab reference to the national guard alcoholic old man suicide ironic twist at end air drop train train station reference to us government space probe amphetamines caboose busty woman deep cleavage female nudity boobs side boob female topless nudity suicide in the car suicide by shooting oneself in the head head bursting helicopter hughes th 55 osage helicopter m 113 armored personnel carrirer m 60 patton tank outer space mars the planet alien organism cover up,"['Herbert L. Cohan', 'Michael D. Graves', 'Woody Jarvis', 'Barbara J. Rebane', 'Bill Rebane']",['Bill Rebane'],['Ingrid Neumayer'],['Bill Rebane'],['Bela St. Jon'],[],[]
1944,One Body Too Many,murder old dark house last will and testament rat poison coffee insurance heir millionaire death threat dead telephone red herring observatory lawyer butler beneficiary insurance agent wall safe trapdoor telescope secret panel scaling ladder midnight hiccups conscience coffin cat attempted drowning psychotronic film,"['William H. Pine', 'William C. Thomas']",['Frank McDonald'],"['Winston Miller', 'Maxwell Shane']",['Henry Adams'],['Fred Jackman Jr.'],[],[]
1983,Eyes of Fire,folk horror psychotronic film year 1750 american indian timeframe 18th century female full frontal nudity female topless nudity female nudity forest folklore witchcraft supernatural power occult horse eye fire trapper burial ground ground burial early modern period thirteen colonies american indian burial ground 1750s tree haunting wilderness ghost spell independent film,"['Chris Baldwin', 'Andrew Reichsman', 'Philip J. Spinelli']",['Avery Crounse'],['Avery Crounse'],['Michael Barnard'],['Wade Hanks'],[],['Jim Harrison']
1992,Eyes of the Beholder,man tied up tied to chair bound and gagged barefoot male man wears socks female nudity hostage dead doctor offscreen murder female rear nudity female topless nudity shower storm falling to death psychopath independent film title spoken by character,"['David Henderson', 'Scott D. Henderson', 'Gary Mehlman', 'David Rambaldi']",['Lawrence L. Simeone'],"['Jason Coleman', 'Lawrence L. Simeone']",['Lawrence L. Simeone'],['Harris Done'],['Billy Jett'],[]
